region,prefix,subarea,n_checks,proposed_grace,confidence,sample_check,tiles,alternates
Gravesite Plain,GP,SR,9,Scorched Ruins,HIGH,GP/SR: Deflecting Hardtear - furnace golem N of SR,m61_46_42 m61_47_41 m61_47_42,"Storehouse, Seventh Floor(52) | Storehouse, Loft(52) | Storehouse, Fourth Floor(52)"
Gravesite Plain,GP,TPC,4,Three-Path Cross,HIGH,GP/TPC: Cross Map - given by Hornsent at TPC or HC,m21_01_00 m61_46_42 m61_47_42,
Great-Jar,CL,CCO,1,,NONE,CL/CCO: Great-Jar's Arsenal - beat Great Jar's knights,m60_47_41,
Great-Jar,CL,DW,4,,NONE,CL/DW: Map: Dragonbarrow - to E,m60_49_40,
Great-Jar,CL,SE,1,,NONE,CL/SE: Smithing Stone [5] x3 - breakable statue to N,m60_49_40,
Hinterland,HL,FH,3,,NONE,HL/FH: Gravitational Missile - boss drop to NE,m61_52_48 m61_53_48,
Hinterland,HL,HB,3,,NONE,"HL/HB: Shadow Sunflower x3 - to SE, down left of wall gravestones",m61_51_47,
Hinterland,HL,HL,2,Hinterland,LOW,HL/HL: Blessing of Marika - boss drop on hill,m61_50_47 m61_50_48,
Jagged Peak,JP,FJP,9,,NONE,JP/FJP: Igon's Greatbow - to E on Igon's corpse after JP mainboss,m61_48_42 m61_53_39 m61_53_40,
Jagged Peak,JP,JPM,6,Jagged Peak Mountainside,HIGH,JP/JPM: Rock Heart - \,m61_53_39 m61_54_39 m61_54_40,Jagged Peak Summit(53)
Jagged Peak,JP,JPS,1,Jagged Peak Summit,HIGH,JP/JPS: Heart of Bayle - mainboss drop,m61_54_39,Jagged Peak Mountainside(53)
Jagged Peak Foot,JP,DPT,2,,NONE,JP/DPT: Dragon Heart - boss drop to E,m61_49_41,
Jagged Peak Foot,JP,FJP,4,Foot of the Jagged Peak,HIGH,JP/FJP: Igon's Furled Finger - given by Igon after defeating boss,m61_48_42 m61_51_41 m61_52_40,
Jagged Peak Foot,JP,GADC,13,Grand Altar of Dragon Communion,HIGH,"JP/GADC: Dragon Communion Harpoon - to W on wing, right item",m61_49_38 m61_49_39,
Lake of Rot,LR,GC,10,Grand Cloister,HIGH,LR/GC: Nomadic Warrior's Cookbook [22] - in chest SW corner of LR within st,m12_01_00,
Lake of Rot,LR,LRS,19,Lake of Rot Shoreside,HIGH,LR/LRS: Map: Lake of Rot - to S,m12_01_00,
"Leyndell, Ashen Capital",LAC,FL,1,Frenzied Flame Proscription,LOW,"LAC/FL: Erdtree's Favor +2 - backtrack from forbidden lands, SW corner on b",m11_05_00,
"Leyndell, Ashen Capital",LAC,LCA,11,"Leyndell, Capital of Ash",HIGH,LAC/LCA: Scepter of the All-Knowing - boss drop,m11_05_00 m35_00_00,Leyndell Catacombs(53)
"Leyndell, Ashen Capital",LAC,QB,1,Queen's Bedchamber,HIGH,LAC/QB: Erdtree Heal - on bed,m11_05_00,
"Leyndell, Ashen Capital",LAC,RC,4,,NONE,LAC/RC: Mending Rune of Perfect Order - on Goldmask's body,m11_05_00,
"Leyndell, Ashen Capital Throne",LAC,QB,1,Queen's Bedchamber,HIGH,LAC/QB: Remembrance of Hoarah Loux - mainboss drop,m11_05_00,
"Leyndell, Royal Capital",LRC,AB,60,Avenue Balcony,HIGH,"LRC/AB: Perfume Bottle - up stairs, to NE past door, end of right side",m11_00_00,
"Leyndell, Royal Capital",LRC,ECR,11,East Capital Rampart,HIGH,"LRC/ECR: Perfume Bottle - in chest down W path, down elevator, up ladder in",m11_00_00,Erdtree Sanctuary(53)
"Leyndell, Royal Capital",LRC,FMFF,25,"Fortified Manor, First Floor",HIGH,LRC/FMFF: Sanctified Whetblade - second floor where blacksmith sits,m11_00_00,
"Leyndell, Royal Capital",LRC,LCC,18,Lower Capital Church,HIGH,"LRC/LCC: Cracked Pot - down right sewer, to NE in upper room",m11_00_00,
"Leyndell, Royal Capital",LRC,QB,1,Queen's Bedchamber,HIGH,LRC/QB: Blessing of the Erdtree - on bed,m11_00_00,
"Leyndell, Royal Capital",LRC,WCR,1,West Capital Rampart,HIGH,LRC/WCR: Gargoyle's Halberd - enemy drop to SE by seedtree,m11_00_00,
"Leyndell, Royal Capital",LRC|LAC,RC,3,,NONE,LRC|LAC/RC: Immutable Shield - Brother Corhyn shop after using Law of Regre,m11_00_00,
"Leyndell, Royal Capital Throne",LRC,ES,3,Erdtree Sanctuary,HIGH,"LRC/ES: Barrier of Gold - scarab to W down elevator, down stairs",m11_00_00,East Capital Rampart(52)
"Leyndell, Royal Capital Throne",LRC,ET,1,Elden Throne,HIGH,LRC/ET: Rold Medallion - talk to Melina after boss,m99_99_99,Erdtree Sanctuary(52) | East Capital Rampart(52)
"Leyndell, Royal Capital Throne",LRC,QB,2,Queen's Bedchamber,HIGH,LRC/QB: Morgott's Great Rune - mainboss drop,m11_00_00,
"Leyndell, Royal Capital Throne",LRC,WCR,1,West Capital Rampart,HIGH,LRC/WCR: Talisman Pouch - mainboss drop,m11_00_00,
"Leyndell, Royal Capital Throne",LRC|LAC,ES,5,Erdtree Sanctuary,HIGH,LRC|LAC/ES: Erdtree Bow - in chest second floor,m11_00_00,East Capital Rampart(52)
"Leyndell, Royal Capital Unmissable",LRC|LAC,AB,5,Avenue Balcony,HIGH,"LRC|LAC/AB: Rune Arc - down stairs to NW, up dragon wing before ladder",m11_00_00,
"Leyndell, Royal Capital Unmissable",LRC|LAC,ECR,5,East Capital Rampart,HIGH,"LRC|LAC/ECR: Furlcalling Finger Remedy - down E path, on church altar",m11_00_00,Erdtree Sanctuary(53)
"Leyndell, Royal Capital Unmissable",LRC|LAC,FMFF,1,"Fortified Manor, First Floor",HIGH,"LRC|LAC/FMFF: Seedbed Curse - second floor in Dung Eaters room, gets moved ",m11_00_00,
"Leyndell, Royal Capital Unmissable",LRC|LAC,RC,4,,NONE,LRC|LAC/RC: Ritual Shield Talisman - on colo stairs,m11_00_00,
"Leyndell, Royal Capital Unmissable",LRC|LAC,WCR,8,West Capital Rampart,HIGH,"LRC|LAC/WCR: Holy Grease x3 - to SE, down sub branch before boss arena",m11_00_00,
Limgrave,LG,ALN,7,Agheel Lake North,HIGH,LG/ALN: Mushroom x10 - Boc to SE,m11_00_00 m60_43_37 m60_44_36,Avenue Balcony(53)
Limgrave,LG,ALS,10,Agheel Lake South,HIGH,LG/ALS: Golden Rune [2] - to S,m60_44_35 m60_44_36,Aqueduct-Facing Cliffs(53) | Ancestral Woods(53)
Limgrave,LG,AS,1,Artist's Shack,HIGH,LG/AS: Somber Smithing Stone [1] - scarab W of AS,m60_44_38,Aqueduct-Facing Cliffs(52) | Ancestral Woods(52) | Agheel Lake South(52)
Limgrave,LG,CC,14,Church of the Cuckoo,HIGH,LG/CC: Broadsword - Nomadic Merchant SE of CC,m60_41_36 m60_41_37 m60_42_35,Church of Elleh(52)
Limgrave,LG,CE,1,Church of Elleh,HIGH,LG/CE: Golden Rune [1] - E of CE,m60_42_36,Church of the Cuckoo(52) | Cave of Knowledge(52) | Castleward Tunnel(52)
Limgrave,LG,DBR,3,Divine Bridge,LOW,LG/DBR: Smithing Stone [1] - W of DBR,m60_42_36 m60_43_36,Debate Parlor(53)
Limgrave,LG,DC,2,,NONE,LG/DC: Golden Rune [3] - E of DC,m60_43_39 m60_43_40,
Limgrave,LG,FHE,2,Fort Haight West,LOW,LG/FHE: Ruin Fragment x3 - SW of Evergaol,m60_44_34,
Limgrave,LG,FHW,10,Fort Haight West,HIGH,LG/FHW: Golden Rune [1] - beach to SW,m60_45_35 m60_46_36,
Limgrave,LG,GC,1,Gateside Chamber,HIGH,LG/GC: Kukri x4 - E of GC,m60_42_37,Godrick the Grafted(52)
Limgrave,LG,HC,1,,NONE,LG/HC: Turtle Neck Meat - N above HC,m60_43_39,
Limgrave,LG,MCO,3,Murkwater Coast,LOW,LG/MCO: Armorer's Cookbook [1] - SW of MCO,m60_43_38 m60_44_38,
Limgrave,LG,MCV,1,Murkwater Cave,LOW,LG/MCV: Reduvia - invader drop E of MCV,m60_43_37,
Limgrave,LG,ME,16,Murkwater Coast,LOW,LG/ME: Hand Axe - Nomadic Merchant S of ME,m60_45_36 m60_45_37,"Murkwater Cave(52) | Mimic Tear(52) | Margit, the Fell Omen(52)"
Limgrave,LG,MO,7,Mistwood Outskirts,HIGH,LG/MO: Golden Seed - kill Kenneth Haight,m10_00_00 m60_45_37 m60_45_38,"Murkwater Coast(52) | Margit, the Fell Omen(52)"
Limgrave,LG,MR,2,Murkwater Coast,LOW,LG/MR: Golden Rune [1] - N of MR,m60_44_37,Murkwater Cave(52) | Mistwood Outskirts(52) | Mimic Tear(52)
Limgrave,LG,SB,11,Siofra River Bank,LOW,LG/SB: Smithing Stone [1] - to S,m60_43_38 m60_43_39 m60_44_38 m60_44_39,Saintsbridge(52)
Limgrave,LG,SC,1,Stormveil Cliffside,MED,LG/SC: Starlight Shards - cliff above W of SC,m60_41_37,Secluded Cell(212) | Schoolhouse Classroom(212)
Limgrave,LG,SG,1,Stranded Graveyard,HIGH,LG/SG: Silver-Pickled Fowl Foot x2 - hidden drop down behind SG entrance,m60_42_36,Summonwater Village Outskirts(52) | Stormveil Main Gate(52) | Saintsbridge(52)
Limgrave,LG,SR,7,Seaside Ruins,HIGH,LG/SR: Haligdrake Talisman - cave entrance lower beach to NW,m18_00_00 m60_42_35 m60_43_35 m60_43_36,Siofra River Bank(97) | Summonwater Village Outskirts(52) | Stranded Graveyard(52)
Limgrave,LG,SRW,3,,NONE,"LG/SRW: Map: Limgrave, East - W of SRW",m60_45_37 m60_46_37,
Limgrave,LG,SWV,9,Summonwater Village Outskirts,LOW,LG/SWV: Golden Rune [4] - ruins NE of SMV,m60_45_39,
Limgrave,LG,SWVO,8,Summonwater Village Outskirts,LOW,LG/SWVO: Fevor's Cookbook [1] - graveyard to S,m60_45_38,
Limgrave,LG,TCM,2,Third Church of Marika,HIGH,LG/TCM: Neutralizing Boluses - NE of TCM,m60_46_38 m60_46_39,
Limgrave,LG,TFS,1,The First Step,LOW,LG/TFS: Golden Halberd - first field boss,m60_42_36,
Limgrave,LG,WR,9,Waypoint Ruins Cellar,MED,LG/WR: Smoldering Butterfly x4 - SW of WR,m60_44_36 m60_44_37,Worshippers' Woods(52) | West Capital Rampart(52) | Warmaster's Shack(52)
Limgrave,LG,WS,14,Warmaster's Shack,HIGH,LG/WS: Beast Liver - SE of WS,m60_42_38 m60_43_39,Worshippers' Woods(52) | West Capital Rampart(52) | Waypoint Ruins Cellar(52)
Liurnia of The Lakes,LL,AGT,23,Academy Gate Town,HIGH,LL/AGT: Golden Rune [1] 1 - W of upper AGT in graveyard,m60_35_44 m60_36_43 m60_36_44 m60_36_45 m60_37_43 m60_37_44,
Liurnia of The Lakes,LL,ARW,1,,NONE,LL/ARW: Stonesword Key - way N of ARW in chair,m60_38_47,
Liurnia of The Lakes,LL,AS,8,Artist's Shack,HIGH,LL/AS: Dragon Cult Prayerbook - enemy drop S of AS,m60_38_44 m60_38_45 m60_39_43 m60_39_44,Altus Plateau(52)
Liurnia of The Lakes,LL,BC,1,Bellum Church,HIGH,LL/BC: Sanctuary Stone x3 - S of BC by ruin,m60_36_48,Boilprawn Shack(52)
Liurnia of The Lakes,LL,BCM,1,,NONE,LL/BCM: Frozen Armament - scarab to NW,m60_35_50,
Liurnia of The Lakes,LL,BS,4,Boilprawn Shack,HIGH,LL/BS: Dexterity-knot Crystal Tear - to SW in basin,m60_36_42 m60_36_43,Beside the Great Bridge(52)
Liurnia of The Lakes,LL,CC,1,Church of Vows,LOW,LL/CC: Somber Smithing Stone [2] x2 - S of CC in chair,m60_39_41,Cathedral of Manus Celes(52)
Liurnia of The Lakes,LL,CFT,1,,NONE,LL/CFT: Crystal Dart x3 - SW under CFT,m60_39_48,
Liurnia of The Lakes,LL,CIn,8,Crystalline Woods,LOW,LL/CIn: Golden Rune [3] 1 - graveyard S of CIn,m60_37_48,Crumbling Beast Grave Depths(53) | Crumbling Beast Grave(53)
Liurnia of The Lakes,LL,CIr,1,Crumbling Beast Grave Depths,LOW,LL/CIr: Warming Stone x3 - W of CIr in graveyard,m60_38_39,Crumbling Beast Grave(53)
Liurnia of The Lakes,LL,CT,2,Converted Tower,HIGH,LL/CT: Golden Rune [6] - ballon to N,m60_34_43 m60_34_44,Crystalline Woods(52) | Crumbling Beast Grave Depths(52) | Crumbling Beast Grave(52)
Liurnia of The Lakes,LL,CV,2,Church of Vows,HIGH,LL/CV: Stormhawk Feather x5 - to W behind CV on cliff facing RLA,m60_37_46 m60_37_47,Crumbling Beast Grave Depths(52) | Crumbling Beast Grave(52) | Converted Tower(52)
Liurnia of The Lakes,LL,CW,1,Crystalline Woods,HIGH,LL/CW: Smithing Stone [3] x3 - to N in gazebo,m60_34_46,Converted Tower(52) | Church of Vows(52)
Liurnia of The Lakes,LL,EGBT,3,East Gate Bridge Trestle,HIGH,LL/EGBT: Ash of War: Shield Bash - scarab to NE,m60_35_47 m60_36_47,
Liurnia of The Lakes,LL,ELLS,3,Eastern Liurnia Lake Shore,HIGH,LL/ELLS: Smithing Stone [3] x3 - to W in gazebo,m60_37_45 m60_38_44,
Liurnia of The Lakes,LL,ERLG,1,East Raya Lucaria Gate,HIGH,LL/ERLG: Slumbering Egg x2 - to NE up cliff path by tent,m60_37_48,
Liurnia of The Lakes,LL,ET,6,Eastern Tableland,HIGH,LL/ET: Smoldering Butterfly x8 - to SW in camp item 1,m60_38_45 m60_38_46,Eastern Liurnia Lake Shore(52) | East Raya Lucaria Gate(52) | East Gate Bridge Trestle(52)
Liurnia of The Lakes,LL,FFB,9,Foot of the Four Belfries,HIGH,LL/FFB: Golden Rune [6] - enemy drop to S middle of rocks,m60_33_45 m60_33_46 m60_33_47,
Liurnia of The Lakes,LL,FFV,1,Frenzied Flame Village Outskirts,MED,LL/FFV: Frenzied Burst - scarab NW of FFV,m60_37_48,
Liurnia of The Lakes,LL,FFVO,3,Frenzied Flame Village Outskirts,HIGH,LL/FFVO: Note: The Lord of Frenzied Flame - to SW behind house,m60_38_48,
Liurnia of The Lakes,LL,FL,3,Frenzied Flame Village Outskirts,LOW,LL/FL: Ash of War: Vow of the Indomitable - scarab to S,m60_35_42 m60_35_43,Foot of the Four Belfries(52) | Folly on the Lake(52) | Fallen Ruins of the Lake(52)
Liurnia of The Lakes,LL,FRL,5,Fallen Ruins of the Lake,HIGH,"LL/FRL: Larval Tear - enemy drop to S, NW of gazebo",m60_35_43 m60_36_43 m60_36_44,Frenzied Flame Village Outskirts(53) | Foot of the Four Belfries(53)
Liurnia of The Lakes,LL,GLD,2,Grand Lift of Dectus,HIGH,LL/GLD: Somber Smithing Stone [3] - scarab to NW,m60_38_50,
Liurnia of The Lakes,LL,GTB,7,Gate Town Bridge,HIGH,LL/GTB: Smithing Stone [2] x3 - to S in gazebo E of HLT,m60_38_42 m60_38_43 m60_39_43,
Liurnia of The Lakes,LL,GTN,2,Gate Town North,HIGH,LL/GTN: Stonesword Key - to W in chair under curved RLA main stairs,m60_35_46 m60_36_45,Gate Town Bridge(53)
Liurnia of The Lakes,LL,JB,22,Jarburg,LOW,LL/JB: Exalted Flesh x3 - given by Alexander after getting him unstuck with,m13_00_00 m16_00_00 m60_39_43 m60_39_44,
Liurnia of The Lakes,LL,LFC,1,Lake-Facing Cliffs,HIGH,LL/LFC: Academy Scroll - to W in graveyard,m60_39_40,
Liurnia of The Lakes,LL,LHN,6,Liurnia Highway North,HIGH,LL/LHN: Stormhawk Feather x3 - to S middle of broken ruins,m60_39_41 m60_39_42,
Liurnia of The Lakes,LL,LHS,3,Liurnia Highway South,HIGH,LL/LHS: Golden Rune [6] - ballon drop to N,m60_39_41 m60_40_40,
Liurnia of The Lakes,LL,LLS,15,Liurnia Lake Shore,HIGH,LL/LLS: Glintstone Craftsman's Cookbook [1] - to S in camp,m60_38_40 m60_38_41,Lake-Facing Cliffs(53)
Liurnia of The Lakes,LL,LR,1,Laskyar Ruins,HIGH,LL/LR: Glintstone Craftsman's Cookbook [2] - to N,m60_38_41,Liurnia Lake Shore(52) | Liurnia Highway South(52) | Liurnia Highway North(52)
Liurnia of The Lakes,LL,MC,4,Mausoleum Compound,HIGH,"LL/MC: Arteria Leaf x3 - to SW, in chair within lower forest",m60_37_47 m60_37_48,"Main Caria Manor Gate(97) | Maliketh, the Black Blade(52) | Main Academy Gate(52)"
Liurnia of The Lakes,LL,MCMG,1,Main Caria Manor Gate,HIGH,LL/MCMG: Ash of War: Hoarfrost Stomp - scarab to SE in pond,m60_36_49,Main Academy Gate(54)
Liurnia of The Lakes,LL,MEW,2,,NONE,LL/MEW: Cerulean Crystal Tear - boss drop,m60_33_43,
Liurnia of The Lakes,LL,NLLS,1,Northern Liurnia Lake Shore,HIGH,"LL/NLLS: Map: Liurnia, West - to NE on map pillar",m60_34_48,
Liurnia of The Lakes,LL,REC,1,Revenger's Shack,LOW,LL/REC: Ash of War: Sword Dance - scarab N of REC,m60_33_43,
Liurnia of The Lakes,LL,RL,1,Ruined Labyrinth,HIGH,LL/RL: Frenzyflame Stone - to SE behind statue on cliff,m60_38_47,"Rykard, Lord of Blasphemy(97) | Raya Lucaria Crystal Tunnel(97) | Royal Moongazing Grounds(52)"
Liurnia of The Lakes,LL,RM,6,Royal Moongazing Grounds,MED,LL/RM: Carian Filigreed Crest - Iji shop after defeating LG/FHE boss,m60_34_49 m60_35_49,"Rykard, Lord of Blasphemy(52) | Road to the Manor(52)"
Liurnia of The Lakes,LL,RS,1,Revenger's Shack,HIGH,LL/RS: Bloodflame Blade - scarab NW of RS,m60_34_44,"Rykard, Lord of Blasphemy(52) | Royal Moongazing Grounds(52) | Raya Lucaria Crystal Tunnel(52)"
Liurnia of The Lakes,LL,RVV,3,Ravine-Veiled Village,HIGH,LL/RVV: Golden Seed - seedtree to SW ,m60_37_50 m60_37_51 m60_38_50,
Liurnia of The Lakes,LL,SHE,1,Subterranean Inquisition Chamber,LOW,LL/SHE: Somber Smithing Stone [3] - scarab NW of SHE,m60_39_45,South Raya Lucaria Gate(53)
Liurnia of The Lakes,LL,SRLG,1,South Raya Lucaria Gate,HIGH,LL/SRLG: Meeting Place Map - to N,m60_35_45,
Liurnia of The Lakes,LL,SeI,6,Sorcerer's Isle,MED,"LL/SeI: Volcano Manor Invitation - give Rya her necklace, you will need to ",m16_00_00 m60_36_41 m60_37_41 m60_37_42,Scenic Isle(153) | Subterranean Inquisition Chamber(98) | Slumbering Wolf's Shack(53)
Liurnia of The Lakes,LL,SoI,21,Sorcerer's Isle,HIGH,LL/SoI: Somber Smithing Stone [3] - to SW up on cliff in chair,m60_33_47 m60_34_47 m60_34_48 m60_35_47 m60_35_48,Scenic Isle(100) | South Raya Lucaria Gate(53) | Subterranean Inquisition Chamber(45)
Liurnia of The Lakes,LL,TQ,7,Temple Quarter,HIGH,LL/TQ: Somber Smithing Stone [2] - scarab to NW on island,m60_33_45 m60_34_44 m60_34_45,
Liurnia of The Lakes,LL,TR,4,The Ravine,LOW,LL/TR: Old Fang x2 - to SW under some ruins with tons of enemies,m60_35_48 m60_35_49,The Four Belfries(52) | Temple Quarter(52)
Liurnia of The Lakes,LL,VA,6,Village of the Albinaurics,HIGH,LL/VA: Albinauric Bloodclot - to N by tree,m60_34_42 m60_34_43 m60_35_42,Volcano Manor(52)
Midra's Manse,MM,MH,5,Manse Hall,HIGH,"MM/MH: Swollen Grape - to N, room immediately to right when entering manse",m28_00_00,
Midra's Manse,MM,ML,6,Midra's Library,HIGH,"MM/ML: Mad Craftsman's Cookbook [3] - to E, corpse in room only accessible ",m28_00_00,Manse Hall(52)
Midra's Manse,MM,SFC,3,Second Floor Chamber,HIGH,MM/SFC: Remembrance of the Lord of Frenzied Flame - mainboss drop,m28_00_00,
Miquella's Haligtree,MH,HC,18,Haligtree Canopy,HIGH,MH/HC: Stonesword Key - to S behind waygate arrival location,m15_00_00,
Miquella's Haligtree,MH,HT,8,Haligtree Town,HIGH,MH/HT: Golden Rune [10] - to NW by the first ladder,m15_00_00,Haligtree Town Plaza(97) | Haligtree Roots(52) | Haligtree Promenade(52)
Miquella's Haligtree,MH,HTP,15,Haligtree Town Plaza,HIGH,MH/HTP: Loretta's War Sickle - boss drop,m15_00_00,Haligtree Promenade(53) | Haligtree Canopy(53)
Mohgwyn Palace,MP,MDE,7,,NONE,MP/MDE: Map: Mohgwyn Palace - to NW,m12_05_00,
Mohgwyn Palace,MP,PALR,28,Palace Approach Ledge-Road,HIGH,MP/PALR: Nomadic Warrior's Cookbook [24] - on E most ledge in S blood swamp,m12_05_00,
Mohgwyn Palace,MP,PALR|(MDM),1,,NONE,MP/PALR|(MDM): Golden Seed - seedtree in S blood swamp AND SE of boss eleva,m12_05_00,
Moonlight Altar,MA,MA,9,Moonlight Altar,HIGH,"MA/MA: Smithing Stone [7] x3 - to SW in the 3 gazebos, left",m60_33_41 m60_34_41 m60_34_42,
Mountaintops of the Giants,MotG,ASVR,7,Ancient Snow Valley Ruins,HIGH,"MotG/ASVR: Golden Rune [7] - to SW on right side of bridge, near end",m60_51_55 m60_51_56,
Mountaintops of the Giants,MotG,CSMG,2,Castle Sol Main Gate,HIGH,MotG/CSMG: Death Ritual Spear - boss drop to W by statue,m60_50_57,
Mountaintops of the Giants,MotG,FCM,5,First Church of Marika,HIGH,MotG/FCM: Somber Smithing Stone [8] - NW of FCM on ice lake,m60_53_56 m60_54_55,
Mountaintops of the Giants,MotG,FR,5,Freezing Lake,LOW,MotG/FR: Golden Seed - seedtree to SW,m60_52_57 m60_53_57 m60_54_56,First Church of Marika(52)
Mountaintops of the Giants,MotG,GG,3,Giant-Conquering Hero's Grave,LOW,MotG/GG: Ash of War: Prelate's Charge - scarab E of GG high on thorn,m60_52_55,
Mountaintops of the Giants,MotG,HR,1,,NONE,MotG/HR: Golden Rune [12] - ballon drop S of HR,m60_53_56,
Mountaintops of the Giants,MotG,LCE,2,,NONE,MotG/LCE: Golden Rune [12] - ballon drop N of LCE,m60_53_56,
Mountaintops of the Giants,MotG,ME,1,,NONE,MotG/ME: Golden Rune [10] - S of ME,m60_51_56,
Mountaintops of the Giants,MotG,SL,5,Spiritcaller Cave,LOW,MotG/SL: Hoslow's Petal Whip - invade Juno Hoslow,m60_50_56,Snow Valley Ruins Overlook(52)
Mountaintops of the Giants,MotG,SR,2,Spiritcaller Cave,LOW,MotG/SR: Greathood - Painting reward NW of SR on bridge,m60_50_56 m60_51_56,Snow Valley Ruins Overlook(52)
Mountaintops of the Giants,MotG,SVRO,7,Snow Valley Ruins Overlook,HIGH,MotG/SVRO: Golden Rune [10] - to W on right side of path,m60_51_57 m60_52_57,
Mountaintops of the Giants,MotG,WR,1,Whiteridge Road,HIGH,MotG/WR: Explosive Greatbolt x5 - to NE by end of walls,m60_52_56,
Mountaintops of the Giants,MotG,ZR,6,Zamor Ruins,HIGH,"MotG/ZR: Iron Kasa - kill Shabriri, or on ground later",m60_49_53 m60_50_53,
Mt. Gelmir,MtG,BI,1,Beside the Great Bridge,LOW,MtG/BI: Arteria Leaf x2 - to NW by 3 enemies,m60_38_54,
Mt. Gelmir,MtG,FL,11,First Mt. Gelmir Campsite,LOW,MtG/FL: Jar - talk to Alexander S of FL,m13_00_00 m60_35_53,
Mt. Gelmir,MtG,FMGC,14,First Mt. Gelmir Campsite,HIGH,MtG/FMGC: Golden Rune [6] - to NW past tower,m60_37_54 m60_38_53 m60_38_54,
Mt. Gelmir,MtG,GHG,1,,NONE,MtG/GHG: Mushroom x6 - N of GHG,m60_37_53,
Mt. Gelmir,MtG,HS,6,,NONE,MtG/HS: Golden Rune [2] 1 - graveyard W of HS,m60_35_52 m60_36_52,
Mt. Gelmir,MtG,HV,2,,NONE,MtG/HV: Sacramental Bud x2 - W of HV,m60_37_52,
Mt. Gelmir,MtG,ME,7,"Maliketh, the Black Blade",LOW,"MtG/ME: Leaden Hardtear - boss drop, Minor Erdtree",m60_37_54,
Mt. Gelmir,MtG,NMGC,15,Ninth Mt. Gelmir Campsite,HIGH,MtG/NMGC: Fallingstar Beast Jaw - boss drop,m60_36_54 m60_37_54,
Mt. Gelmir,MtG,PSA,6,Primeval Sorcerer Azur,HIGH,MtG/PSA: Memory Stone - boss drop to S,m60_37_53,
Mt. Gelmir,MtG,RI,5,Road of Iniquity,HIGH,"MtG/RI: Dragonwound Grease - to NW, NW of map pillar up on ledge",m60_35_54 m60_36_54 m60_37_54,
Mt. Gelmir,MtG,SR,9,Seethewater River,HIGH,MtG/SR: Ash of War: Barrage - scarab to N,m60_37_52 m60_37_53 m60_37_54,Seethewater Terminus(52)
Mt. Gelmir,MtG,ST,6,Seethewater Terminus,HIGH,MtG/ST: Mushroom x5 - to W by wood walls,m60_35_53 m60_35_54 m60_36_53 m60_36_54,Seethewater River(52)
Mt. Gelmir,MtG,VC,1,,NONE,MtG/VC: Poison Grease x2 - SE of VC,m60_37_55,
Mt. Gelmir,MtG,VM,8,,NONE,"MtG/VM: Golden Rune [3] - NW of VM, SW of seedtree",m60_35_54 m60_36_54,
"Nokron, Eternal City",NR,AFC,4,Aqueduct-Facing Cliffs,HIGH,"NR/AFC: Missionary's Cookbook [5] - jump down to SE, on corpse",m12_02_00,
"Nokron, Eternal City",NR,AW,20,Ancestral Woods,HIGH,NR/AW: Ash of War: Enchanted Shot - scarab to N by fire monument,m12_02_00,
"Nokron, Eternal City",NR,HG,2,,NONE,NR/HG: Kukri x8 - SE of stairs SW of HG,m12_02_00,
"Nokron, Eternal City",NR,MT,4,Mimic Tear,HIGH,NR/MT: Somber Smithing Stone [5] - scarab to NE,m12_02_00,
"Nokron, Eternal City Start",NR,LG,9,,NONE,NR/LG: Golden Rune [5] - entrance middle platform on ledge,m12_07_00,
"Nokron, Eternal City Start",NR,NEC,14,"Nokron, Eternal City",HIGH,NR/NEC: Silver Tear Mask - boss drop,m12_02_00 m12_07_00,
Rauh Base,RB,ARB,9,Ancient Ruins Base,HIGH,"RB/ARB: Smithing Stone [8] x4 - to SW, up on a hill right side of ravine, N",m61_46_46 m61_47_46 m61_47_47 m61_48_47,
Rauh Base,RB,NNM,1,,NONE,RB/NNM: Spiraltree Seal - \,m61_46_45,
Rauh Base,RB,RN,9,Ravine North,HIGH,RB/RN: Roar of Rugalea - boss drop to NW,m61_44_47 m61_44_48 m61_45_47,"Rauh Ancient Ruins, West(52) | Rauh Ancient Ruins, East(52)"
Rauh Base,RB,SRC,2,,NONE,RB/SRC: Greater Potentate's Cookbook [8] - N of SRC on pile of brown,m61_44_47,
Rauh Base,RB,TRF,4,,NONE,"RB/TRF: Sanguine Amaryllis x5 - W of TRF, middle of pond",m61_47_47 m61_48_47,
Rauh Base,RB,TTR,11,Temple Town Ruins,HIGH,RB/TTR: Grave Glovewort [5] - to S by gravestones,m61_45_45 m61_45_46 m61_46_45 m61_46_47,
Rauh Ruins Limited,SA,ARR,3,,NONE,SA/ARR: Redflesh Mushroom - E side of imbued sword key area by pillar,m61_46_46 m61_46_47,
Raya Lucaria Academy,RLA,CC,19,Church of the Cuckoo,HIGH,"RLA/CC: Ash of War: Spectral Lance - scarab outside, E after bridge over so",m14_00_00,
Raya Lucaria Academy,RLA,DB,3,Debate Parlor,LOW,"RLA/DB: Glintstone Whetblade - outside, left up rubble then in room on rail",m14_00_00,
Raya Lucaria Academy,RLA,MAG,23,Main Academy Gate,HIGH,"RLA/MAG: Magic Grease - up elevator, right of fountain",m14_00_00 m60_35_45 m60_35_46,
Raya Lucaria Academy,RLA,RLGL,4,Raya Lucaria Grand Library,HIGH,RLA/RLGL: Eccentric's Hood - side with Sellen,m14_00_00,
